Recommended_Treatment,count,mean,min,max
No_Yes_No,36,0.5116845282825151,0.09086885056476547,0.6534231384916043
Yes_Yes_No,205,0.47660156921365693,0.09632064062095543,0.7709105712446462
No_Yes_Yes,41,0.46486561911817814,0.10032882564216421,0.678080143114806
Yes_No_No,37,0.3911721241807692,0.21705985781755494,0.6606886220148727
Yes_Yes_Yes,104,0.38950282372809936,0.018679934791951507,0.6917743184608051
No_No_Yes,2,0.3641062008967676,0.29091531013592936,0.4372970916576059
Yes_No_Yes,77,0.2737179045164159,0.03159169545621744,0.5861396059331219
